,Document Title,PublicationAvenue,Publication Year,Abstract,Article Citation Count
79,Transforming regulations into performance models in the context of reasoning for outcome-based compliance,2013 6th International Workshop on Requirements Engineering and Law (RELAW),2013,"Recently, interest in performance modeling of out-come-based regulations has grown in the regulatory community. In this context, performance modeling refers to the measuring of important business aspects in a coordinated manner and the use of these measurements for improved decision making. Goal modeling techniques have shown to be beneficial when expressing and analyzing performance models. Since most regulations are still written in natural language, support for the transformation of regulatory text into performance models is needed. This allows regulators and regulated parties to keep working with familiar natural language regulations and to use goal models indirectly while avoiding a potentially significant learning curve for goal-modeling techniques. In this paper, we present such a tool-supported transformation to goal models expressed with the User Requirements Notation that enables reasoning about outcome-based regulations via widely available evaluation mechanism for goal models. The transformation is implemented in the jUCM-Nav goal modeling tool and illustrated with an example from the banking domain.",9
80,A hybrid model for agile practices using case based reasoning,2013 IEEE 4th International Conference on Software Engineering and Service Science,2013,"Agile Software Development works as the bridge that establishes the path to handle changes in the composite task of Software Development. In this research, we present a hybrid model which has been introduced for evolution of the Agile Software Development Practices by using Artificial Intelligence (AI) technique. The methods we used in this research are published reports, articles and existing case studies. Expert's response method is applied to accomplish the appraisal of this model. This model has resulted in improving the Agile Practices by using the concept of Case Based Reasoning (CBR). The model provides a guideline to the Agile Software Development regarding enhancement of Agile Practices incorporated with CBR.",7
81,AnalyticGraph.com: Toward Next Generation Requirements Modeling and Reasoning Tools,2016 IEEE 24th International Requirements Engineering Conference (RE),2016,"Graphical Requirements Modeling (GRM) consists of representing requirements in diagrams: requirements (and other relevant information) are represented as nodes, and relationships between them as edges. Relationships can show, for example, that one requirement refines another, that some are in conflict with others, that they are more or less desirable, and so on. Various software tools have been proposed over the years as a support to doing GRM, some capable of performing computations over diagrams, such as searching for text strings, or determining if a requirement is satisfied (and how much). We present yet another tool, available at AnalyticGraph.com. The tool departs from much of prior work in the following ways. (i) The tool is a web application, is available on-demand, and requires no installation of specialized software. (ii) Each model made with the tool gets its own permanent and unique URL, so that models can be linked in research papers. (iii) If a model on AnalyticGraph is linked in a paper, then any reader can click on the link, open a free account, and edit and run a copy of the linked model. (iv) The tool supports the definition of various requirements modeling languages. (v) Models are stored in a graph database, and standard graph queries (such as find the shortest path between two nodes) are included by default. (vi) It is possible to combine models made with various languages, and do computations over the resulting mixed models.",3
82,Applying knowledge representation and reasoning to (simple) goal models,2014 IEEE 1st International Workshop on Artificial Intelligence for Requirements Engineering (AIRE),2014,"We consider simple i∗-style goal models with influence (contribution) links and AND/OR refinement (decomposition), and formalize them by translation into three standard logics that are actively studied in AI Knowledge Representation and Reasoning (KR&R): propositional logic, FOL and description logics (the first formalization is well known). In each case, this provides a semantics for the notation, on which we can base the definition of forward (“what if?”) and backward (“how is this achievable?”) reasoning, of interest to requirements engineers. We consider the manner in which AI KR&R research provides off-the-shelf algorithms that can be used to solve these tasks. We compare the representations by reporting known worst-case complexity results for the reasoning, as well as other criteria such as size/understandability of axiomatization, and ease of extension of modeling language.",3
83,Semantic web representations for reasoning about applicability and satisfiability of federal regulations for information security,2015 IEEE Eighth International Workshop on Requirements Engineering and Law (RELAW),2015,"In this paper, the Nomos 2 framework for modeling law-compliant solutions in software system design is applied in the context of the Federal Information Security Modernization Act (FISMA) of 2014. Information security regulatory statements with a high variability space are examined to explore the utility and limits of the Nomos 2 framework for information security regulations. Additionally, Nomos 2 concepts are modeled in a semantic web representation for reasoning about the applicability and satisfiablity of FISMA regulations for information systems. The use of freely available semantic web toolsets for knowledge modeling and reasoning are demonstrated in an example scenario requiring the determination of FISMA related authorities and functions.",1
84,Automated Reasoning towards Quantitative Security Assurance,2019 IEEE 10th International Conference on Software Engineering and Service Science (ICSESS),2019,"System security assurance has become one of the most important research directions in software engineering and requirement engineering. To date, a lot of approaches have been proposed to conduct system security assurance. However, in these existing approaches, the constraint conditions of security assurance are rarely mentioned. In software engineering domain, constraint is a critical factor that can affect the success or failure of the engineering project, and thus the practicability of these approaches may be called in question. In order to resolve this problem, this paper proposes a new security assurance method that allows engineers to give consideration to both contribution attributes and cost attributes for security objectives during system architecture design process. In addition, a recursive algorithm is proposed and implemented to realize automated reasoning for developing security assurance cases.",0
85,Applying Case-Based Reasoning to software requirements specifications quality analysis system,The 2nd International Conference on Software Engineering and Data Mining,2010,"Software Requirements Specifications (SRS) or software requirements are basically an organization's understanding of a customer's system requirements and dependencies at a given point in time. This research paper focuses only on the requirements specifications phase of the software development cycle (SDC). It further narrows it down to analyzing the quality of the prepared SRS to ensure that the quality is acceptable. It is a known fact that companies will pay less to fix problems that are found very early in any software development cycle. The Software Quality Assurance (SQA) audit technique is applied in this study to determine whether or not the required standards and procedures within the requirements specifications phase are being followed closely. The proposed online quality analysis system ensures that software requirements among others are complete, consistent, correct, modifiable, ranked, traceable, unambiguous, and understandable. The system interacts with the developer through a series of questions and answers session, and requests the developer to go through a checklist that corresponds to the list of desirable characteristics for SRS. The Case-Based Reasoning (CBR) technique is used to evaluate the requirements quality by referring to previously stored software requirements quality analysis cases (past experiences). CBR is an AI technique that reasons by remembering previously experienced cases.",4
86,A role for chunking and fuzzy reasoning in a program comprehension and debugging tool,Proceedings Ninth IEEE International Conference on Tools with Artificial Intelligence,1997,"We are applying artificial intelligence techniques to develop a tool called BUG-DOCTOR that assists software engineers with program comprehension and debugging. In this paper we describe two of BUG-DOCTOR's knowledge sources, the Chunker and the Plan Processor. The Chunker identifies candidate chunks in the target code using program analysis techniques and a set of heuristics. Candidate chunks map to higher level concepts, and have a signature which captures their major identifying characteristics. The Plan Processor uses a signature to retrieve a set of program plans from a Plan Library with features that are similar to those of the candidate chunk. Its fuzzy reasoner then ranks the retrieved plans. The plan chosen as most similar to the candidate chunk is used for program comprehension and debugging tasks that follow. We believe that this approach could lead to more scalable tools for program comprehension and debugging.",7
87,A System Based on Ontology and Case-Based Reasoning to Support Distributed Teams,2015 12th International Conference on Information Technology - New Generations,2015,"The intrinsic nature of distributed software development (DSD) brings new challenges, such as communication issues and sharing information efficiently. Software companies have a tendency to face these challenges using individual and isolated approaches, making difficult to spread good practices for the DSD community. In other contexts, concepts and techniques from Artificial Intelligence (AI) are frequently used in order to improve the functioning of systems and process. This work is based on the following AI concepts: ontologies, case-based reasoning (CBR) and natural language processing (NLP). We propose a system, based on ontology and case-based reasoning, that operates as follows: i) we use a tool for ontology storage, access and processing; and ii) an ontology-based CBR tool which aims to aid software companies by recommending techniques and best practices for minimizing or solving potential challenges that may be faced by DSD processes. The main results from this research are: i) a specific ontology for distributed software development teams; ii) a tool to facilitate the access and manipulation of the proposed ontology; and iii) a case based reasoning system that utilizes natural language processing. Initial results of the performed experiments indicate a success rate of 91.7% in the recommendation of solutions for potential problems coming from DSD processes.",1
88,Reasoning in agent-based network management,NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium,2018,"An increasing complexity of mobile networks and use cases is reflected in requirements for network management. Advanced automation is required to address this challenge in an economically feasible manner. We describe a system based on agent mapping as a platform for automation for network management in 5G networks and beyond. We use classical and probabilistic reasoning for composing solutions to complex re­quests by means of relatively simple software agents. We describe different variants of the approach in terms of capabilities, ranging from triple store only to system with semantic and probabilistic reasoning functionalities. This approach provides flexibility for network functionality evolution and facilitates software reuse and is compatible with the use of task-specific machine learning algorithms in network management agents. We describe test system used for evaluating the concept, as well as use case evaluation obtained with it.",1
89,Software-Friendly Subjective Bayesian Networks: Reasoning within a Software-Centric Mission Impact Assessment Framework,2023 26th International Conference on Information Fusion (FUSION),2023,"Subjective Bayesian networks (SBN) combine Bayesian Networks (BN) with Subjective Logic in order to express the second-order uncertainty (i.e., the uncertainty about a probability distribution of an event – as opposed to the uncertainty about the event itself). While SBNs provide a strong formalism for treating the uncertainty in a higher level, the literature lacks support for extensive software implementations focused on compatibility with current software solutions or standards. Our work explores the structural congruence between BN and SBN (in terms of software data structure) and a semantic bijection between Subjective Logic opinions to Dirichlet distributions to introduce a SBN reasoning framework that targets on effectively reusing the existing BN solutions. Particularly, we developed two inference algorithms that apply a Monte Carlo method to existing BN inference algorithms (we chose the Junction Tree algorithm, for test), respectively for batch and interactive SBN reasoning. A method for translating an evidence in SBN to uncertain (virtual) evidence in BN is also presented. The main contribution of this paper is the introduction of a simple, yet flexible empirical estimation method and a software architecture that virtually adapts any BN inference algorithm to an approximate computational inference framework for SBN. We also developed a Java component to demonstrate the reusability, and we developed a case study of Mission Impact Assessment of Unmanned Aerial Vehicles transporting critical items between hospitals in order to illustrate the applicability in a knowledge engineering process.",0
90,Use of case-based reasoning techniques for intelligent computer-aided-design systems,Proceedings of IEEE Systems Man and Cybernetics Conference - SMC,1993,"Reuse of designs is an important research direction for the future intelligent CAD systems. The main applications of such a research are various, from mechanical systems design (spacecraft, robot, ...) to software design. This paper will present a survey of the use of case-based reasoning (CBR) techniques for intelligent CAD systems in order to reuse designs or parts of designs. First, we will briefly resume some work issued from cognitive psychology, showing the importance of analogical-reasoning for design activities and then the origins of the CBR technology in AI. Second, we will then present the main systems using case-based reasoning for design activities followed by a comparative analysis between these systems. To conclude, we will indicate the main directions in CBR for design and will propose to adopt a cognitive approach from knowledge acquisition until the development of real design support systems.<>",6
91,Reasoning about adaptive requirements for self-adaptive systems at runtime,2011 2nd International Workshop on Requirements@Run.Time,2011,"Increasing proliferation of mobile applications challenge the role of requirements engineering (RE) in developing customizable and adaptive software applications for the end-users. Such adaptive applications need to alter their behavior while monitoring and evaluating the changes in the environment at runtime by being aware of their end-user's needs, context and resources. More specifically, these applications should be able to: (i) reason about their own requirements and refine and validate them at run-time by involving end-users, if necessary; (ii) provide solutions for the refined or changed requirements at runtime, for instance by exploiting available services. In this position paper we focus on the first issue. We propose to extend our previous work on adaptive requirements with preference-based reasoning and automated planning to enable a continuous adaptive reasoning of requirements at runtime. We describe this vision using a navigation system example and highlight challenges.",11
92,Towards Symbolic Pointers Reasoning in Dynamic Symbolic Execution,2021 Ivannikov Memorial Workshop (IVMEM),2021,"Dynamic symbolic execution is a widely used technique for automated software testing, designed for execution paths exploration and program errors detection. A hybrid approach has recently become widespread, when the main goal of symbolic execution is helping fuzzer increase program coverage. The more branches symbolic executor can invert, the more useful it is for fuzzer. A program control flow often depends on memory values, which are obtained by computing address indexes from user input. However, most DSE tools don’t support such dependencies, so they miss some desired program branches.We implement symbolic addresses reasoning on memory reads in our dynamic symbolic execution tool Sydr. Possible memory access regions are determined by either analyzing memory address symbolic expressions, or binary searching with SMT-solver. We propose an enhanced linearization technique to model memory accesses.Different memory modeling methods are compared on the set of programs. Our evaluation shows that symbolic addresses handling allows to discover new symbolic branches and increase the program coverage.",5
93,A Novel Case Base Reasoning and Frequent Pattern Based Decision Support System for Mitigating Software Risk Factors,IEEE Access,2020,"Software risk management is crucial for the success of software project development. The existing literature has models for risk management, but is too complex to be used in practice. The information in the existing studies is scattered over different articles which makes it difficult to find relevant knowledge to establish relationship between risk factors and mitigations. This paper presents a novel model which identifies the relationship between risk factors and mitigations automatically by using intelligent Decision Support System (DSS). The proposed model has four steps. Firstly, the input of the system has been designed where risk factors and mitigations have been inputted into it. Secondly, rule based machine learning approach has been used for mining of associations between risks and mitigations. Thirdly, Case Based Reasoning (CBR) approach has been used to determine the previous cases as rules. Finally, automated rules have been generated to develop an intelligent DSS to mitigate the software risks. The proposed technique copes with the highly cited existing limitations of risk handling like, lack of generic DSS and intelligent relationship between software risks and mitigations. Automated rules have been discovered with a novel idea of CBR and frequent pattern. The proposed model is capable of mitigating upcoming risks in future. Star schema has been implemented to support our proposed DSS. Moreover, from highly cited literature 40 studies were identified from which 26 risk factors, 57 mitigations, 14 questions and 26 automated rules have been extracted. According to the validation of IT industry experts, the average of the effectiveness of DSS is 51-55%. The novelty of the proposed research is that it uses two state of the art methods (Rule Based Machine Learning and CBR) to identify software risk mitigations. The results of the proposed model show that the chances of risks in software development have been reduced significantly.",15
94,Using Interactive Visual Reasoning to Support Sense-Making: Implications for Design,IEEE Transactions on Visualization and Computer Graphics,2013,"This research aims to develop design guidelines for systems that support investigators and analysts in the exploration and assembly of evidence and inferences. We focus here on the problem of identifying candidate 'influencers' within a community of practice. To better understand this problem and its related cognitive and interaction needs, we conducted a user study using a system called INVISQUE (INteractive Visual Search and QUery Environment) loaded with content from the ACM Digital Library. INVISQUE supports search and manipulation of results over a freeform infinite 'canvas'. The study focuses on the representations user create and their reasoning process. It also draws on some pre-established theories and frameworks related to sense-making and cognitive work in general, which we apply as a 'theoretical lenses' to consider findings and articulate solutions. Analysing the user-study data in the light of these provides some understanding of how the high-level problem of identifying key players within a domain can translate into lower-level questions and interactions. This, in turn, has informed our understanding of representation and functionality needs at a level of description which abstracts away from the specifics of the problem at hand to the class of problems of interest. We consider the study outcomes from the perspective of implications for design.",10
95,Positive-Negative Receptive Field Reasoning for Omni-Supervised 3D Segmentation,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"Hidden features in the neural networks usually fail to learn informative representation for 3D segmentation as supervisions are only given on output prediction, while this can be solved by omni-scale supervision on intermediate layers. In this paper, we bring the first omni-scale supervision method to 3D segmentation via the proposed gradual Receptive Field Component Reasoning (RFCR), where target Receptive Field Component Codes (RFCCs) is designed to record categories within receptive fields for hidden units in the encoder. Then, target RFCCs will supervise the decoder to gradually infer the RFCCs in a coarse-to-fine categories reasoning manner, and finally obtain the semantic labels. To purchase more supervisions, we also propose an RFCR-NL model with complementary negative codes (i.e., Negative RFCCs, NRFCCs) with negative learning. Because many hidden features are inactive with tiny magnitudes and make minor contributions to RFCC prediction, we propose Feature Densification with a centrifugal potential to obtain more unambiguous features, and it is in effect equivalent to entropy regularization over features. More active features can unleash the potential of omni-supervision method. We embed our method into three prevailing backbones, which are significantly improved in all three datasets on both fully and weakly supervised segmentation tasks and achieve competitive performances.",0
96,Using default reasoning to discover inconsistencies in natural language requirements,Proceedings Eighth Asia-Pacific Software Engineering Conference,2001,"The use of logic in identifying and analysing inconsistency in requirements from multiple stakeholders has been found to be effective in a number of studies. Default reasoning is a theoretically well founded formalism that is especially suited for supporting the evolution of requirements. However, direct use of logic in eliciting requirements and in discussing them with stakeholders poses serious useability problems. In this paper we explore the integration of natural language parsing techniques with default reasoning to overcome these difficulties. We also propose a method for automatically discovering scenarios that expose inconsistencies in requirements, and show how to deal with them in a formal manner. These techniques were implemented and tested in a prototype tool called CARL.",15
97,A tool for reasoning about software models,COMPASS '93: Proceedings of the Eighth Annual Conference on Computer,1993,The authors describe a tool for supporting formal reasoning about software systems via their specification diagrams. The formal interconnection analysis tool (FIAT) is meant to help bridge the technology gap between the broad software engineering community and the community of researchers and practitioners of formal methods. An environment was developed for describing and reasoning about software by means of three mechanisms: a graphical interconnection language; a tabular component behavior specification language; and a repository of existing component definitions. The mechanisms are described. The verification process-the kinds of queries that the tool can process and the algorithm for processing the queries-is outlined. Some plans to extend the capabilities of FIAT are discussed.<>,0
98,Reasoning about time in higher-level language software,IEEE Transactions on Software Engineering,1989,"A methodology for specifying and providing assertions about time in higher-level-language programs is described. The approach develops three ideas: the distinction between, and treatment of, both real-time and computer times; the use of upper and lower bounds on the execution times of program elements; and a simple extension of Hoare logic to include the effects of the passage of real-time. Schemas and examples of timing bounds and assertions are presented for a variety of statement types and programs, such as conventional sequential programs including loops, time-related statements such as delay, concurrent programs with synchronization, and software in the presence of interrupts. Examples of assertions that are proved include deadlines, timing invariants for periodic processes, and the specification of time-based events such as those needed for the recognition of single and double clicks from a mouse button.<>",232
99,An Ontology-Based Approach to Software Comprehension - Reasoning about Security Concerns,30th Annual International Computer Software and Applications Conference (COMPSAC'06),2006,"There exists a large variety of techniques to detect and correct software security vulnerabilities at the source code level, including human code reviews, testing, and static analysis. In this article, we present a static analysis approach that supports both the identification of security flaws and the reasoning about security concerns. We introduce an ontology-based program representation that lets security experts and programmers specify their security concerns as part of the ontology. Within our tool implementation, we support complex queries on the underlying program model using either predefined or user-defined concepts and relations. Queries regarding security concerns, such as exception handling, object accessibility etc. are demonstrated in order to show the applicability and flexibility of our approach",13
100,Reflection and Reasoning Mechanisms for Failure Detection and Recovery in a Distributed Robotic Architecture for Complex Robots,Proceedings 2007 IEEE International Conference on Robotics and Automation,2007,"Complex robots that interact naturally with humans require the integration, coordination and maintenance of many diverse software components and algorithms. An architecture that incorporates explicit knowledge about the relationships among these components and the overall system state can be used for introspection and consequently to reason about the best configurations of the computing environment under changing conditions; potential uses include maintaining the system's integrity, promoting its health, and providing the ability to dynamically reconfigure system components (e.g., after component failure). In this paper, we describe a rudimentary reasoning system, part of our distributed integrated affect reflection cognition (DIARC) architecture for human-robot interaction, that can autonomously perform failure detection, failure recovery, and system reconfiguration of distributed architectural components to ensure sustained operation and interactions. We demonstrate the functionality and utility of the proposed mechanisms on a robot, where architectural components are forcefully removed by hand and automatically recovered by the system while the robot is continuing its interactions with humans as part of a joint human-robot task.",11
101,A hybrid knowledge representation as a basis of requirement specification and reasoning,[1990] Proceedings of the 2nd International IEEE Conference on Tools for Artificial Intelligence,1990,"A hybrid knowledge representation technique is presented which is used as a basis of a requirement specification language FRORL, (frame-and-rule oriented requirements specification language). To easily represent the structure and behavior of a software system, the syntax of FRORL is based on the concepts of frames and production rules. The semantic interpretation of the FRORL language is defined using Horn-clause logic augmented with the concept of multiple inheritance. The completeness and soundness of the hybrid knowledge representation technique are proved. Based on the full machinery of Horn-clause logic, the FRORL specification modeling the world can be checked against the known constraints of a given domain, and the known facts pertaining to the software system.<>",3
102,An application of fuzzy reasoning to support automated program comprehension,Proceedings Seventh International Workshop on Program Comprehension,1999,"We are developing a knowledge based program understanding/fault localization system called BUGDOCTOR. We describe a system knowledge source called the Plan Processor that retrieves a set of program plans from a plan library using indices called signatures. We propose use of a fuzzy reasoning component to support the Plan Processor with the task of ranking the retrieved plans in order of similarity to the target code. The most similar plan can then be used for the complex plan/code matching required for automated program understanding. Our approach to plan processing may eliminate the need for exhaustive plan library searches, and could lead to automated program understanders that scale up for use on large software systems.",1
103,Knowledge representation and reasoning in the design of composite systems,IEEE Transactions on Software Engineering,1992,"The design process that spans the gap between the requirements acquisition process and the implementation process, in which the basic architecture of a system is defined, and functions are allocated to software, hardware, and human agents. is studied. The authors call this process composite system design. The goal is an interactive model of composite system design incorporating deficiency-driven design, formal analysis, incremental design and rationalization, and design reuse. They discuss knowledge representations and reasoning techniques that support these goals for the product (composite system) that they are designing, and for the design process. To evaluate the model, the authors report on its use to reconstruct the design of two existing composite systems rationally.<>",49
104,Visual tools for temporal reasoning,Proceedings 1993 IEEE Symposium on Visual Languages,1993,"We describe a prototype toolkit for reasoning about Graphical Interval Logic (GIL) specifications of concurrent systems. GIL is a visual temporal logic that is intended to be more intuitive and easier to use than standard textual temporal logics. The GIL toolkit helps system designers to create graphical specifications of concurrent systems, to verify properties of those systems from their specifications, and to generate models that satisfy the specifications. The toolkit provides a visual interface with specifications, proofs, and models all depicted graphically. The paper describes the toolkit, discusses its implementation, and provides an illustration of its use.<>",6
105,Web-Based Intelligent CSCW Exploiting Context-Based Reasoning,2008 IEEE International Conference on Signal Image Technology and Internet Based Systems,2008,"In order to make CSCW (computer supported cooperative works) more intelligent and dependable, the usefulness of contextual reasoning is discussed in this paper. To ensure the project objectives are met, a project manager (PM) maintaining control of the project plays much important roles in complex projects where interaction may be limited to a web-based collaborative tool. In such limitations, he should more strongly help avoid cost overruns, shipment delays, but most importantly, product performance including product reliability. We utilize context-based reasoning (CxBR) for implementing such control measures as typically used by competent PMs. A rocket development project is used as the domain to evaluate our technique, using NASA¿s open software for rocket design. Through the experimental evaluation, the easiness of validation and refinement of Knowledge represented by CxBR is clarified. As well, this Knowledge representation is expected to be effective even for building a web-based complex and intelligent CSCW system where biological sensor fusions are included for situational assessment to aim at the further reliable collaboration support that can avoid such as misunderstanding, mishearing, etc.",1
106,Logic in computer science: tool-based modeling and reasoning about systems,30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135),2000,"Recent years have brought about the development of powerful tools for verifying specifications of hardware and software systems. By now, major companies, such as Intel, IBM, AT&T, Siemens, and BT have realized the impact and importance of such tools in their own design and implementation processes as a means of coping with the ever-increasing complexity of chip and software designs. This necessitates the availability of a basic formal training that allows undergraduate students to gain sufficient proficiency in using and reasoning with such tool-animated frameworks. We present an existing course, ""Logical Foundations of Programming"", that aims at meeting these educational goals. After describing inherent challenges that such a course faces, we then evaluate this course in the larger context of what logical frameworks, if any, should be taught and where they may be placed in a computer science related undergraduate curriculum.",0
107,Enhancing predictive maintenance architecture process by using ontology-enabled Case-Based Reasoning,2021 IEEE International Symposium on Systems Engineering (ISSE),2021,"A common milestone in systems architecture development is the logical architecture. It provides a detailed overview of the system components and their interfaces but keeps the architecture as generic as possible, meaning that no component is bound to a specific technology. Subsequently, the architect searches for physical/informational components to fulfill the logical architecture and can apply structured creativity to look for innovative solutions. This search can turn out to be a difficult and long-lasting task depending on the system complexity. Too many options may be available to fulfill the logical system components and not always the most suitable ones are identified. This problem is for instance encountered in the design of new predictive maintenance systems, especially when selecting the components to carry out the diagnostics and prognostics. The current study proposes to support the choice of suitable components combining case-based reasoning and ontologies. A domain ontology has been developed as a terminology framework to support the case base, case structure and similarity measures for a case-based reasoning Decision Support System (DSS). The DSS uses attributes of the new problem to solve and suggests the most similar cases from past experiences. The retrieved solutions can be adapted to develop a new predictive maintenance architecture. The decision support system has been tested with data coming from proved predictive maintenance solutions documented in scientific publications.",1
108,JAMES: Normalizing Job Titles with Multi-Aspect Graph Embeddings and Reasoning,2023 IEEE 10th International Conference on Data Science and Advanced Analytics (DSAA),2023,"In online job marketplaces, it is important to establish a well-defined job title taxonomy for various downstream tasks (e.g., job recommendation, users’ career analysis, and turnover prediction). Job Title Normalization (JTN) is such a cleaning step to classify user-created non-standard job titles into normalized ones. However, solving the JTN problem is non-trivial with challenges: (1) semantic similarity of different job titles, (2) non-normalized user-created job titles, and (3) large-scale and long-tailed job titles in real-world applications. To this end, we propose a novel solution, named JAMES, that constructs three unique embeddings (i.e., graph, contextuat, and syntactic) of a target job title to effectively capture its various traits. We further propose a multi-aspect co-attention mechanism to attentively combine these embeddings, and employ neural logical reasoning representations to collaboratively estimate similarities between messy job titles and normalized job titles in a reasoning space. To evaluate JAMES, we conduct comprehensive experiments against ten competing models on a large-scale real-world dataset with over 350,000 job titles. Our experimental results show that JAMES significantly outperforms the best baseline by 10.06% in Precision@10 and by 17.52% in NDCG@10, respectively. To further facilitate the acquisition of normalized job titles for job-domain applications, our JAMES API is available at: https://tinyurl.con JAMES-job-title-mapping.",0
109,"Case study of digital innovation process improvement, using BPMN, case-based reasoning, and text mining",2022 16th International Conference on Signal-Image Technology & Internet-Based Systems (SITIS),2022,"Managers of digital products frequently receive feature requests from customers, end users, C-suite executives, and other company officials. They need to collect, process, and implement such requests to implement the most valuable features. Moreover, it is often difficult to decide which requests should be applied. The product backlog prioritization strategy is a well-known method widely utilized to enhance this process. However, it is time-consuming because of the large amount of data and is also subject to the human factor. Moreover, the current literature lacks models allowing automated recommendations to help speed up feature request processing, especially for digital startups with a lack of resources. In this paper, we used BPMN to illustrate a case study of redesigning an innovation process in a digital startup. Furthermore, based on the To-Be Process model, we created an approach to recommend new features using case-based reasoning and text mining.",0
110,Optimal Reasoning of Goals in the i* Framework,2015 Asia-Pacific Software Engineering Conference (APSEC),2015,"Requirement analysis involves elicitation of suitable functions or operations and relevant data to support software. A requirement analyst examines different alternative options to decide on an optimal alternative option that benefits the stakeholders of the system. The decision making of alternative design option is complicated by the unavailable or incomplete and imprecise input data. Optimisation, an operation research technique, can be used as a method to solve this problem. The goal-oriented framework, such as i* is used to present social models for the analysis of a software system during the early phase of the requirement's engineering process. This paper aims to develop an optimisation model for the i* goal models, using multi-objective optimisation. The optimisation model aims to fully automate the goal analysis and to handle large goal models. A simulation for the proposed approach was developed by integrating Visual C++ with Matlab and was evaluated with case studies from the existing literature. The evaluation results show that the proposed approach is feasible and offers guidance in the decision making of alternative options.",1
111,An Effective and Efficient Exact Match Retrieval Scheme for Symbolic Image Database Systems Based on Spatial Reasoning: A Logarithmic Search Time Approach,IEEE Transactions on Knowledge and Data Engineering,2006,"In this paper, a novel method of representing symbolic images in a symbolic image database (SID) invariant to image transformations that is useful for exact match retrieval is presented. The relative spatial relationships existing among the components present in an image are perceived with respect to the direction of reference and preserved by a set of triples. A distinct and unique key is computed for each distinct triple. The mean and standard deviation of the set of keys computed for a symbolic image are stored along with the total number of keys as the representatives of the corresponding image. The proposed exact match retrieval scheme is based on a modified binary search technique and, thus, requires O (logn) search time in the worst case, where n is the total number of symbolic images in the SID. An extensive experimentation on a large database of 22,630 symbolic images is conducted to corroborate the superiority of the model. The effectiveness of the proposed representation scheme is tested with standard testbed images",12
112,Data structure repair using goal-directed reasoning,"Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.",2005,"Data structure repair is a promising technique for enabling programs to execute successfully in the presence of otherwise fatal data structure corruption errors. Previous research in this field relied on the developer to write a specification to explicitly translate model repairs into concrete data structure repairs, raising the possibility of 1) incorrect translations causing the supposedly repaired concrete data structures to be inconsistent, and 2) repaired models with no corresponding concrete data structure representation. We present a new repair algorithm that uses goal-directed reasoning to automatically translate model repairs into concrete data structure repairs. This new repair algorithm eliminates the possibility of incorrect translations and repaired models with no corresponding representation as concrete data structures.",12
113,Reasoning about software architecture-based regression testing through a case study,29th Annual International Computer Software and Applications Conference (COMPSAC'05),2005,"Two main issues need to be covered when dealing with the dependability of component-based systems: quality assurance of reusable software components and quality assurance of the assembled component-based system. By focussing on the assembly, a software architecture specification of a component-based system allows to explicitly model the structure and required system behavior by specifying how components and connectors are intended to interact. Software architecture-based conformance testing techniques can yield confidence on the implementation conformance to expected structural and behavioral properties as specified in the architectural models. In this paper we explore software architecture-based regression testing methods that enable reuse of earlier saved results to test if a different assembly of components conforms to the evolved software architecture. The approach is presented through a running example.",7
114,Compositional software reuse with case-based reasoning,Proceedings of 9th IEEE Conference on Artificial Intelligence for Applications,1993,"Case-based reasoning can be applied to software reuse. The approach presented goes beyond furnishing a library of potentially reusable modules and provides a tool that supports the process of reusing software. It uses case-based reasoning to add flexibility and adaptability to the compositional model of reuse. The authors describe the structure of the case base, emphasizing the case acquisition process during which high level functional information is associated with its components. The system performs advanced data-flow analysis of source code to guide acquisition of the functional specification of a library of software modules. The system then decomposes a user's problem, retrieves matching cases, and adapts and assembles their code. The data-flow of the result is again analyzed to produce test cases which can be used to evaluate the success of case-based reasoning.<>",5
115,Better reasoning about software engineering activities,Proceedings 16th Annual International Conference on Automated Software Engineering (ASE 2001),2001,"Software management oracles often contain numerous subjective features. At each subjective point, a range of behaviors is possible. Stochastic simulation samples a subset of the possible behaviors. After many such stochastic simulations, the TAR2 treatment learner can find control actions that have (usually) the same impact despite the subjectivity of the oracle.",5
116,The Calculator Project-formal reasoning about programs,Proceedings Software Education Conference (SRIG-ET'94),1994,"This paper describes the Calculator Project, which was a three-year joint research project between the Centre for Information Technology in Education at The Open University, U.K. and the Department of Computer Science, QMW, University of London, U.K.. The project was funded by the U.K. Joint Council Initiative in Cognitive Science and Human-Computer Interaction. The central aim of the project was to test the hypothesis that providing so-called calculators would improve students performance in those parts of the undergraduate first-year that relied on formal reasoning skills.<>",3
117,Using tracing to direct our reasoning about distributed programs,[1991] Proceedings. 11th International Conference on Distributed Computing Systems,1991,"Two principles are proposed for proving and tracing distributed programs: it is necessary to assert in proofs only what can be readily traced, and trace just what can be asserted in the proofs. A proof system and tracing strategy are described for CSP programs based on these principles, using vector time and control variables, not auxiliary variables, to represent control state, and stressing local rather than global reasoning.<>",2
